video,crime_type,flagged,text,verdict,notes
Burglary037_x264,Burglary,1,"An African-American man wearing a white coat entered the room and jumped behind the bar. Another African-American man wearing a white shirt entered the room, stood in front of the bar and urged the man inside. The man inside took out five bottles of wine and handed them to the man outside. The man took the wine and left the room. The man inside grabbed the cash register and walked out.  After walking a few steps, I was pulled by the connected line. The man put down the cash register The man pulled the thread hard The man changed the direction of the machine and continued to pull the thread at ",,
Shoplifting050_x264,Shoplifting,1," Six people gathered around a glass counter and looked at their mobile phones. Inside the counter, a man took the mobile phone from the man in a black and white shirt, then turned around and said a few words to the man behind him, Then he went out with his mobile phone, and the man behind him went in The man inside the counter is talking to the person opposite, and the man in a red shirt is talking on the phone The man inside the counter put the mobile phone on the glass table back into the counter, and a man and a woman left the glass counter The man in red shirt held up his mobile phone and ",,
Stealing006_x264,Stealing,1,"There are many cars and motorcycles traveling in opposite directions on the road A motorcycle carrying two people stopped behind a white car. The person on the back seat of the motorcycle got off the motorcycle and stood aside. The man in brown clothes walked to the parked motorcycle The man in pink rode a motorcycle and backed up to the man in brown. The man in pink rode forward for a distance, and looked left and right with the man in brown. The man in brown clothes squatted down and looked left and right, the man in pink clothes moved on a motorcycle The man in pink and the man in brown loo",,
Burglary016_x264,Burglary,1,"A red car slowly poured into a field filled with more than a dozen green cars. Two men got out of the car and stopped at the edge of the field. One person squatted down and got in from a certain entrance; The other man turned around and opened the trunk The man who disappeared just now delivered two red racks to the outside, and the men outside sent them into the car respectively. The man who disappeared just now delivered two red shelves and a black bag, and the man outside delivered them into the car. The man who just got out and disappeared delivered two black racks outside, and the man out",,
Burglary047_x264,Burglary,0,"A man punched the glass door of his office and finally opened it. Two men broke into the office. One was wearing a horizontal striped T-shirt and a white hat, and the other was wearing a light-colored hooded jacket, jeans, and glasses. The two came to the desk to look for items. The man in white took off his backpack and handed it to another person. The two took some items in the house. The two of them put some items in the backpack on their shoulders. The man in the white hooded coat held some items directly in his hands. The two of them wandered around the house for several times. The two lo",,
Explosion036_x264,Explosion,0,"In an open space, there are several children playing An explosion occurred at the manhole cover next to the wall, and white smoke filled the entire site.  Several adults and children walked to the manhole cover that was blown open  Several people pulled a child out of the well. He was wearing a yellow shirt and black pants. Many people gathered in this open space A yellow electric car came and parked next to it The yellow electric car turned around and left Three people walked to the wellhead",,
Fighting002_x264,Fighting,1,"Several men talking at the bar A woman with a high ponytail and short-sleeved trousers raised her arms at the bar to give instructions to the man. Man throwing chair at woman The woman turned around and faced the men opposite, raised her hands and said something before leaving the bar. A man threw two cups  Several stools smashed the tabletop. The man walked up and continued to smash  Several cups were thrown into the counter The man threw several stools and smashed the tabletop.",,
Shoplifting015_x264,Shoplifting,0,"Three men are talking, one with his arms crossed, one leaning to the side, and one standing in front of the two people; The man leaning on one side hugged the man in front of him, and then the two walked forward, leaving one man standing there The man in white short-sleeves stands in place The man in white short sleeves walked to the table with his arms folded, looked at it, and then looked at the people at the end on the right The man in white short sleeves turned and left The man in white short sleeves came back and put the things on the table into his pants pocket, and then left",,
Shoplifting054_x264,Shoplifting,0,"A man in a coat is lying on the mobile phone cabinet looking at his mobile phone The man picked up the two mobile phones on the table, put the small mobile phone into his pocket, then put down the big mobile phone and left",,
Robbery075_x264,Robbery,0,"Two robbers entered the house. One person threatened a store clerk with a gun and squatted down, and the other person broke the door and entered the hut. The two men looted the items in the house. The man in the house threatened the clerk, while the other man continued to search. The man in the house observed the situation. The man in the hut took the bag containing money and left with another robber. The clerk stood up and called the police",,
Burglary036_x264,Burglary,1,"A man with a gray woolen hat walked into the bar, The man took out cash from the cash register with the small drawer below open and put it into his pocket. The man continued to rummage in the cabinet at the bottom left of the cash register. The man squatted down at the bottom left of the cash register again The man squatted down and continued to search The man returned to the cash register and opened the compartment to rummage. The man stood up The man left quickly.",,
Robbery017_x264,Robbery,0,"There is a man and a woman at the counter. The man is wearing a blue shirt and the woman is wearing a black coat. A man wearing a hat came in from the door and stood next to the cashier, communicating with the man in a blue shirt. The man in the hat looks around. The man in a blue shirt was operating next to the cashier, then squatted on the machine next to him and touched it. The man in the hat left the cashier. The man in the hat suddenly broke into the counter and forced the man in the blue shirt into the corner with a knife. The man in the hat forced the man in the blue shirt into the corn",,
Shooting033_x264,Shooting,1,"A white off-road vehicle reversed, and a black car drove behind the white off-road vehicle. A black car drove past quickly and then drove away. A man stood at the door, a woman got out of the car, and two men riding models rode over quickly. A man got off the motorcycle and grabbed the woman's things, then dragged the woman down and ran away. The man looked at the woman and then ran out. The woman was lying on the ground. A white car drove across the road and drove away. A woman in white clothes is running next to the woman, and a man in white clothes is standing next to the woman A man in whi",,
Robbery029_x264,Robbery,0," Four men got out of a white van, three of them were carrying two white bags in their hands. The white van drove away. A black car drove up and several men in black got out. After the white van drove away, a black car drove up and several men in black got out. Several men in black pushed the men who were originally carrying bags to the ground.  Several men in black snatched their bags, put them in a black car, and then got in the car and fled. After the black car drove away, four men got up and wandered on the road. Four men suddenly ran into the next door. A man ran out of the gate again",,
Shooting019_x264,Shooting,1,Someone is walking in the distance in the dark night A man in black walked from the intersection to the distance A white car drove past in the distance A white car drove up in the distance A little black man is walking in the distance A small black car is approaching in the distance A white car is turning in the distance A white car is coming from the road,,
Shoplifting053_x264,Shoplifting,1,"A woman is holding a box of jewelry in her hands in the house The woman turned around and walked to the middle of the counter with the jewelry box in hand. The woman walked to the left along the counter, then turned around and returned to the middle. The woman counted the things in her hands and then walked to the right",,
Robbery103_x264,Robbery,1,"A man in black opened the door and entered the supermarket A man had a conflict with an old man behind the checkout counter The two fought for something, and the man jumped out of the checkout counter and escaped out the door. The old man pulled his shirt back after returning to the checkout counter.",,
RoadAccidents068_x264,RoadAccidents,0,"People walking on the road A child was knocked down and crushed by a white car. People walked over and picked up the child. After a blue battery car arrived, people came to the child People put children in cars",,
Burglary038_x264,Burglary,0,A man in white climbed into the room from the small kitchen window. Another man in black climbed into the room through the small kitchen window. The man in white looked at the table in the middle A man in a white T-shirt flipped through the white shopping bag on the chair in front of the small table. The man in black closed the window Then the man in white left the room and walked towards other rooms. Then the man in black left the room and walked towards other rooms.,,
Robbery039_x264,Robbery,1,A masked man entered and took a white item from the counter The masked man took what the teller handed over The masked man opened the door and left,,
Burglary011_x264,Burglary,0,"A car reversed and hit the house The car reversed and hit the wall behind The two men then broke into the room, The two walked near the car and took a look The car moved and turned 45 degrees The two left the room immediately. 3 people ran into the room and came to the back of the car. Three people were in the back of the car, loading things into the car. The car drove out of the room",,
Vandalism024_x264,Vandalism,1,"A white car passed by A bald man wearing a green jacket, black bottoms and blue jeans was walking along the road. When passing a black car parked on the roadside, he used something in his hand to paddle from the rear of the black car to the front. The bald man continued to walk forward. When he reached the black car with a silver ladder on the roof rack, he also used the thing in his hand to row from the rear to the front of the car.",,
Burglary082_x264,Burglary,1,"A man in black appeared near the house on the opposite side of the road, walking around from the side of the house to the front of the house. The man was looking inward at the wall. The man later ran into a black car parked on the side of the road. A man wearing a white T-shirt, black shorts and a baseball cap got out of the car. Run to the side of the house and stay. I saw a man in black and a man in a white T-shirt walking towards the side of the house near the car.",,
Vandalism028_x264,Vandalism,1,"A man in clothes and hat walked to the front of a black vehicle parked on the roadside The man in clothes and hat poured the liquid in his hand on the hood of the black car, and then walked towards the rear of the car while pouring it The man in clothes and hat poured the liquid onto the roof of the black car, then walked forward and poured the liquid onto the hood again The man in clothes and hat walked around to the front of the black car while pouring the liquid in his hand, poured a large amount of liquid on the hood of the black car, then put away the bottle and screwed on the lid People ",,
Burglary076_x264,Burglary,0,"A white car drove to the house and stopped. A yellow-haired white man got out of the car, The man came straight to the door. The man opened the outer door. The man kept twisting and prying the inner door The man finally pried open the door and entered the house. The man came out of the house, carrying a bag full of things. Run over and put it in the car, then return to the house again. The man came out again, holding a large roll of things in his left hand and a TV set in his right hand, and put them in the car. The man returned to the house again. The man ran out of the room with a large bag ",,
Vandalism029_x264,Vandalism,1,"A man wearing yellow clothes, black pants, black shoes, and carrying a black bag on his chest is pasting the flyer in his hand on the building on the roadside, while sticking it toward the green door. Go A man wearing yellow clothes, black pants, black shoes, and carrying a black bag on his chest is pasting the flyer in his hand on the building on the roadside, and throwing the waste paper of the flyer on the ground , leave from the right",,
Stealing051_x264,Stealing,1,"A white car drove up the road and stopped next to the black car  Two men got out of the car and walked towards the black vehicle parked on the roadside and started to open the door. The man successfully opened the car door and triggered the vehicle's alarm The white car drove forward for a short distance, and the man in the car opened the trunk. Two men moved the contents of the trunk of the black car into the white car Two men drove away in a white car",,
Explosion051_x264,Explosion,0,"A large white truck parked on the roadside The rear of the white truck caught fire, and then the vehicle exploded and a huge red flame ignited on the vehicle Black oil leaks from under the vehicle The flame spread along the black oil on the ground, then the flame became larger, and black smoke rose above the flame",,
Shoplifting017_x264,Shoplifting,1,"The man in a gray suit said something to the boss, and the boss stood up and walked away The man in the gray suit put the bag on the table, then reached for something on the counter; The woman behind the man in gray suit walked out",,
Shoplifting021_x264,Shoplifting,0,"In a store, a male boss took an earring from a box and showed it to a woman The man puts on the earrings for the woman  The woman was satisfied and exposed the ear with the earring for the man to see. The woman then looked at the mirror aside, The woman looked in the mirror. The man placed an item on the counter on the high cabinet next to her, and then moved the mouse next to her. The man placed another item on the table next to the woman. The woman came back from the mirror and watched the man's actions. The woman looked at the mirror next to her, and the man then looked at the mirror. The w",,
Shoplifting014_x264,Shoplifting,0,"A male salesperson in the store touched the clothes on the right. Two women walked into the store. The woman in the red skirt picked up a pair of pants and inspected them carefully. The woman in the black and white skirt also came over to observe the clothes. The woman in the black and white skirt also picked up a pair of pants and looked at them, and the woman in the red skirt put down her skirt. The woman in the red skirt asked the salesperson about her pants. The two had a conversation. The salesperson began to arrange the pants, and the woman in the red skirt picked up another pair of pant",,
